smiles,expt,calc,atoms,bonds,charges
C1=CC(=O)C=CC1=O,-6.5,-6.96,"cc,cd,c,o,cc,cd,c,o,ha,ha,ha,ha","1-2,1-7,1-9,2-3,2-10,3-4,3-5,5-6,5-11,6-7,6-12,7-8","-0.184200,-0.184200,0.538500,-0.490100,-0.184200,-0.184200,0.538500,-0.490100,0.160000,0.160000,0.160000,0.160000"
COC(=O)CCl,-4.0,-3.816,"c3,os,c,o,c3,cl,h1,h1,h1,h1,h1","1-2,1-7,1-8,1-9,2-3,3-4,3-5,5-6,5-10,5-11","0.124700,-0.432900,0.622099,-0.517000,-0.026000,-0.134400,0.054367,0.054367,0.054367,0.100200,0.100200"
CCCC=O,-3.18,-3.044,"c3,c3,c3,c,o,hc,hc,hc,hc,hc,hc,hc,h4","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-11,3-12,4-5,4-13","-0.097100,-0.077400,-0.203400,0.564901,-0.529100,0.037033,0.037033,0.037033,0.044200,0.044200,0.074200,0.074200,-0.005800"
CCc1ccccc1,-0.79,-0.606,"c3,c3,ca,ca,ca,ca,ca,ca,hc,hc,hc,hc,hc,ha,ha,ha,ha,ha","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-8,4-5,4-14,5-6,5-15,6-7,6-16,7-8,7-17,8-18","-0.089100,-0.038100,-0.077300,-0.128000,-0.128000,-0.134999,-0.128000,-0.128000,0.036033,0.036033,0.036033,0.046700,0.046700,0.130000,0.130000,0.130000,0.130000,0.130000"
C(=C(Cl)Cl)Cl,-0.44,0.818,"c2,c2,cl,cl,cl,h4","1-2,1-5,1-6,2-3,2-4","-0.068600,0.062800,-0.051400,-0.051400,-0.065400,0.174000"
CCN(CC)CC,-3.22,-1.955,"c3,c3,n3,c3,c3,c3,c3,hc,hc,hc,h1,h1,h1,h1,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-6,4-5,4-13,4-14,5-15,5-16,5-17,6-7,6-18,6-19,7-20,7-21,7-22","-0.117767,0.176800,-0.748596,0.176800,-0.117767,0.176800,-0.117767,0.037033,0.037033,0.037033,0.039700,0.039700,0.039700,0.039700,0.037033,0.037033,0.037033,0.039700,0.039700,0.037033,0.037033,0.037033"
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,-2.31,"ca,ca,ca,ca,ca,ca,cl,os,ca,ca,ca,ca,ca,ca,cl,cl,cl,cl,os,ha,ha,ha","1-2,1-6,1-20,2-3,2-21,3-4,3-19,4-5,4-8,5-6,5-22,6-7,8-9,9-10,9-14,10-11,10-19,11-12,11-18,12-13,12-17,13-14,13-16,14-15","-0.119000,-0.167300,0.208700,0.217700,-0.172300,0.020400,-0.074400,-0.371800,0.232700,0.233700,-0.036900,0.021400,0.020400,-0.036900,-0.021400,-0.029400,-0.029400,-0.021400,-0.371800,0.158000,0.165000,0.174000"
Cc1ccncc1C,-5.22,-3.201,"c3,ca,ca,ca,nb,ca,ca,c3,hc,hc,hc,ha,h4,h4,hc,hc,hc","1-2,1-9,1-10,1-11,2-3,2-7,3-4,3-12,4-5,4-13,5-6,6-7,6-14,7-8,8-15,8-16,8-17","-0.058800,-0.041300,-0.244300,0.390200,-0.665998,0.395200,-0.194600,-0.047800,0.049033,0.049033,0.049033,0.142000,0.020100,0.020100,0.046033,0.046033,0.046033"
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-21.762,"c,o,ns,c,o,ns,c,o,ns,hn,hn,hn","1-2,1-3,1-9,3-4,3-10,4-5,4-6,6-7,6-11,7-8,7-9,9-12","0.821500,-0.605500,-0.591500,0.821500,-0.605500,-0.591500,0.821500,-0.605500,-0.591500,0.375500,0.375500,0.375500"
c1ccc(cc1)C=O,-4.02,-5.058,"ca,ca,ca,ca,ca,ca,c,o,ha,ha,ha,ha,ha,h4","1-2,1-6,1-9,2-3,2-10,3-4,3-11,4-5,4-7,5-6,5-12,6-13,7-8,7-14","-0.098000,-0.145000,-0.078000,-0.197600,-0.078000,-0.145000,0.574500,-0.528100,0.135000,0.137500,0.144000,0.144000,0.137500,-0.002800"
c1ccnc(c1)Cl,-4.39,-3.873,"ca,ca,ca,nb,ca,ca,cl,ha,ha,h4,ha","1-2,1-6,1-8,2-3,2-9,3-4,3-10,4-5,5-6,5-7,6-11","-0.086000,-0.247300,0.407200,-0.654000,0.488300,-0.235300,-0.151000,0.144000,0.148000,0.029100,0.157000"
C=CCCl,-0.57,0.944,"c2,c2,c3,cl,ha,ha,ha,h1,h1","1-2,1-5,1-6,2-3,2-7,3-4,3-8,3-9","-0.197000,-0.184200,0.069200,-0.193400,0.116500,0.116500,0.135000,0.068700,0.068700"
Cc1ccc(cc1)C(=O)C,-4.7,-4.91,"c3,ca,ca,ca,ca,ca,ca,c,o,c3,hc,hc,hc,ha,ha,ha,ha,hc,hc,hc","1-2,1-11,1-12,1-13,2-3,2-7,3-4,3-14,4-5,4-15,5-6,5-8,6-7,6-16,7-17,8-9,8-10,10-18,10-19,10-20","-0.060800,-0.045300,-0.147500,-0.078000,-0.183600,-0.078000,-0.147500,0.579700,-0.539100,-0.198100,0.048700,0.048700,0.048700,0.136000,0.144500,0.144500,0.136000,0.063700,0.063700,0.063700"
C=O,-2.75,-3.155,"c,o,h4,h4","1-2,1-3,1-4","0.562700,-0.515100,-0.023800,-0.023800"
Cc1ccccc1Cl,-1.14,-0.473,"c3,ca,ca,ca,ca,ca,ca,cl,hc,hc,hc,ha,ha,ha,ha","1-2,1-9,1-10,1-11,2-3,2-7,3-4,3-12,4-5,4-13,5-6,5-14,6-7,6-15,7-8","-0.056800,-0.066300,-0.124000,-0.126000,-0.127000,-0.121000,0.014400,-0.099400,0.051033,0.051033,0.051033,0.136000,0.135000,0.136000,0.146001"
CC(=O)N1CCCC1,-9.8,-7.831,"c3,c,o,n,c5,c5,c5,c5,hc,hc,hc,h1,h1,hc,hc,hc,hc,h1,h1","1-2,1-9,1-10,1-11,2-3,2-4,4-5,4-8,5-6,5-12,5-13,6-7,6-14,6-15,7-8,7-16,7-17,8-18,8-19","-0.169100,0.656099,-0.607100,-0.473800,0.089500,-0.090900,-0.090900,0.089500,0.064367,0.064367,0.064367,0.048700,0.048700,0.052200,0.052200,0.052200,0.052200,0.048700,0.048700"
CC(OC)(OC)OC,-4.42,-3.7,"c3,c3,os,c3,os,c3,os,c3,hc,hc,hc,h1,h1,h1,h1,h1,h1,h1,h1,h1","1-2,1-9,1-10,1-11,2-3,2-5,2-7,3-4,4-12,4-13,4-14,5-6,6-15,6-16,6-17,7-8,8-18,8-19,8-20","-0.116100,0.522402,-0.448600,0.131700,-0.448600,0.131700,-0.448600,0.131700,0.061700,0.061700,0.061700,0.039922,0.039922,0.039922,0.039922,0.039922,0.039922,0.039922,0.039922,0.039922"
CCCCc1ccccc1,-0.4,-0.227,"c3,c3,c3,c3,ca,ca,ca,ca,ca,ca,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha,ha,ha","1-2,1-11,1-12,1-13,2-3,2-14,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-10,6-7,6-20,7-8,7-21,8-9,8-22,9-10,9-23,10-24","-0.092100,-0.082400,-0.073400,-0.038100,-0.075300,-0.129000,-0.128500,-0.134000,-0.128500,-0.129000,0.031700,0.031700,0.031700,0.043200,0.043200,0.041200,0.041200,0.047700,0.047700,0.130500,0.130000,0.130000,0.130000,0.130500"
CN(C)c1ccccc1,-3.45,-4.426,"c3,nh,c3,ca,ca,ca,ca,ca,ca,h1,h1,h1,h1,h1,h1,ha,ha,ha,ha,ha","1-2,1-10,1-11,1-12,2-3,2-4,3-13,3-14,3-15,4-5,4-9,5-6,5-16,6-7,6-17,7-8,7-18,8-9,8-19,9-20","0.183100,-0.649000,0.183100,0.156600,-0.187000,-0.098000,-0.172000,-0.098000,-0.187000,0.036700,0.036700,0.036700,0.036700,0.036700,0.036700,0.131000,0.128000,0.130000,0.128000,0.131000"
CC(C)OC,-2.01,-0.657,"c3,c3,c3,os,c3,hc,hc,hc,h1,hc,hc,hc,h1,h1,h1","1-2,1-6,1-7,1-8,2-3,2-4,2-9,3-10,3-11,3-12,4-5,5-13,5-14,5-15","-0.124100,0.136100,-0.124100,-0.420601,0.114700,0.042367,0.042367,0.042367,0.070700,0.042367,0.042367,0.042367,0.031033,0.031033,0.031033"
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,-1.147,"ca,ca,ca,ca,ca,ca,cl,cl,cl,cl,os,ca,ca,ca,ca,ca,ca,cl,cl,cl,cl,os","1-2,1-6,1-22,2-3,2-11,3-4,3-10,4-5,4-9,5-6,5-8,6-7,11-12,12-13,12-17,13-14,13-22,14-15,14-21,15-16,15-20,16-17,16-19,17-18","0.227700,0.227700,-0.031900,0.022400,0.022400,-0.031900,-0.014400,-0.025400,-0.025400,-0.014400,-0.356800,0.227700,0.227700,-0.031900,0.022400,0.022400,-0.031900,-0.014400,-0.025400,-0.025400,-0.014400,-0.356800"
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,0.76,"cp,ca,ca,ca,ca,ca,cl,cl,cl,cl,cl,cp,ca,ca,ca,ca,ca,cl,cl,cl,cl,cl","1-2,1-6,1-12,2-3,2-11,3-4,3-10,4-5,4-9,5-6,5-8,6-7,12-13,12-17,13-14,13-22,14-15,14-21,15-16,15-20,16-17,16-19,17-18","-0.027000,0.051900,0.015400,0.038400,0.015400,0.051900,-0.032400,-0.027400,-0.026400,-0.027400,-0.032400,-0.027000,0.051900,0.015400,0.038400,0.015400,0.051900,-0.032400,-0.027400,-0.026400,-0.027400,-0.032400"
C(C(Cl)Cl)Cl,-1.99,-0.384,"c3,c3,cl,cl,cl,h1,h1,h2","1-2,1-5,1-6,1-7,2-3,2-4,2-8","0.010000,0.133100,-0.134400,-0.134400,-0.145400,0.085700,0.085700,0.099700"
CNc1ccccc1,-4.69,-5.719,"c3,nu,ca,ca,ca,ca,ca,ca,h1,h1,h1,hn,ha,ha,ha,ha,ha","1-2,1-9,1-10,1-11,2-3,2-12,3-4,3-8,4-5,4-13,5-6,5-14,6-7,6-15,7-8,7-16,8-17","0.174100,-0.729601,0.142600,-0.187500,-0.095500,-0.172000,-0.095500,-0.187500,0.036367,0.036367,0.036367,0.394800,0.130500,0.128000,0.130000,0.128000,0.130500"
CC(C)OC(=O)C,-2.64,-3.371,"c3,c3,c3,os,c,o,c3,hc,hc,hc,h1,hc,hc,hc,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-4,2-11,3-12,3-13,3-14,4-5,5-6,5-7,7-15,7-16,7-17","-0.128100,0.162100,-0.128100,-0.447900,0.639103,-0.548000,-0.152100,0.052033,0.052033,0.052033,0.068700,0.052033,0.052033,0.052033,0.074033,0.074033,0.074033"
c1ccccc1,-0.9,-0.806,"ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha","1-2,1-6,1-7,2-3,2-8,3-4,3-9,4-5,4-10,5-6,5-11,6-12","-0.130000,-0.130000,-0.130000,-0.130000,-0.130000,-0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000"
c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51,"ca,ca,ca,ca,ca,ca,cl,cl,cl,ha,ha,ha","1-2,1-6,1-10,2-3,2-11,3-4,3-9,4-5,4-8,5-6,5-7,6-12","-0.114000,-0.118000,0.023400,0.016400,0.023400,-0.118000,-0.062400,-0.044400,-0.062400,0.146000,0.155000,0.155000"
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024,"c3,c3,os,p5,s,os,c3,c3,ss,c3,ss,ca,ca,ca,ca,ca,ca,cl,hc,hc,hc,h1,h1,h1,h1,hc,hc,hc,h2,h2,ha,ha,ha,ha","1-2,1-19,1-20,1-21,2-3,2-22,2-23,3-4,4-5,4-6,4-9,6-7,7-8,7-24,7-25,8-26,8-27,8-28,9-10,10-11,10-29,10-30,11-12,12-13,12-17,13-14,13-31,14-15,14-32,15-16,15-18,16-17,16-33,17-34","-0.121100,0.149400,-0.479700,0.746200,-0.552000,-0.479700,0.149400,-0.121100,-0.405500,0.130800,0.083000,-0.089100,-0.081500,-0.127500,0.037400,-0.127500,-0.081500,-0.081400,0.054200,0.054200,0.054200,0.064950,0.064950,0.064950,0.064950,0.054200,0.054200,0.054200,0.123200,0.123200,0.155500,0.154500,0.154500,0.155500"
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,-14.106,"c3,os,p5,s,os,c3,ss,c3,n,c,o,ca,ca,ca,ca,ca,ca,nc,nd,h1,h1,h1,h1,h1,h1,h2,h2,ha,ha,ha,ha","1-2,1-20,1-21,1-22,2-3,3-4,3-5,3-7,5-6,6-23,6-24,6-25,7-8,8-9,8-26,8-27,9-10,9-19,10-11,10-12,12-13,12-17,13-14,13-28,14-15,14-29,15-16,15-30,16-17,16-31,17-18,18-19","0.105200,-0.248700,-0.629800,0.138000,-0.248700,0.105200,0.301500,0.158100,-0.263800,0.694102,-0.594500,-0.160600,-0.065000,-0.131000,-0.101000,-0.094000,0.106400,-0.223400,-0.010600,0.054533,0.054533,0.054533,0.054533,0.054533,0.054533,0.112200,0.112200,0.164000,0.145000,0.143000,0.159000"
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,-3.16,"ca,ca,ca,ca,ca,ca,os,ca,ca,ca,ca,ca,ca,os,cl,cl,cl,ha,ha,ha,ha,ha","1-2,1-6,1-18,2-3,2-19,3-4,3-20,4-5,4-14,5-6,5-7,6-21,7-8,8-9,8-13,9-10,9-17,10-11,10-22,11-12,11-16,12-13,12-15,13-14","-0.124000,-0.124000,-0.175300,0.208700,0.208700,-0.175300,-0.377300,0.227700,-0.036900,-0.116000,0.021400,-0.042900,0.235700,-0.377300,-0.029400,-0.053400,-0.045400,0.143000,0.143000,0.159000,0.159000,0.171000"
CC(=C)C(=C)C,0.4,1.862,"c3,ce,c2,ce,c2,c3,hc,hc,hc,ha,ha,ha,ha,hc,hc,hc","1-2,1-7,1-8,1-9,2-3,2-4,3-10,3-11,4-5,4-6,5-12,5-13,6-14,6-15,6-16","-0.060900,-0.077200,-0.217000,-0.077200,-0.217000,-0.060900,0.042700,0.042700,0.042700,0.113500,0.113500,0.113500,0.113500,0.042700,0.042700,0.042700"
CCCCC=C,1.58,2.628,"c3,c3,c3,c3,c2,c2,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha","1-2,1-7,1-8,1-9,2-3,2-10,2-11,3-4,3-12,3-13,4-5,4-14,4-15,5-6,5-16,6-17,6-18","-0.093100,-0.080400,-0.075400,-0.052200,-0.163200,-0.227000,0.032700,0.032700,0.032700,0.039200,0.039200,0.041200,0.041200,0.046700,0.046700,0.119000,0.110000,0.110000"
S,-0.7,-1.135,"sh,hs,hs","1-2,1-3","-0.439600,0.219800,0.219800"
CCOCC,-1.59,-0.617,"c3,c3,os,c3,c3,hc,hc,hc,h1,h1,h1,h1,hc,hc,hc","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,4-5,4-11,4-12,5-13,5-14,5-15","-0.128100,0.125400,-0.425600,0.125400,-0.128100,0.041700,0.041700,0.041700,0.045200,0.045200,0.045200,0.045200,0.041700,0.041700,0.041700"
CCNc1nc(nc(n1)SC)NC(C)C,-7.65,-10.552,"c3,c3,nu,ca,nb,ca,nb,ca,nb,ss,c3,nu,c3,c3,c3,hc,hc,hc,h1,h1,hn,h1,h1,h1,hn,h1,hc,hc,hc,hc,hc,hc","1-2,1-16,1-17,1-18,2-3,2-19,2-20,3-4,3-21,4-5,4-9,5-6,6-7,6-12,7-8,8-9,8-10,10-11,11-22,11-23,11-24,12-13,12-25,13-14,13-15,13-26,14-27,14-28,14-29,15-30,15-31,15-32","-0.130100,0.198800,-0.820900,0.917900,-0.839000,0.920898,-0.795000,0.795300,-0.838000,-0.193400,-0.068000,-0.825900,0.212500,-0.114100,-0.114100,0.044700,0.044700,0.044700,0.063700,0.063700,0.424800,0.075700,0.075700,0.075700,0.428800,0.087700,0.043867,0.043867,0.043867,0.043867,0.043867,0.043867"
CCCCOC(=O)c1ccc(cc1)O,-8.72,-8.771,"c3,c3,c3,c3,os,c,o,ca,ca,ca,ca,ca,ca,oh,hc,hc,hc,hc,hc,hc,hc,h1,h1,ha,ha,ha,ha,ho","1-2,1-15,1-16,1-17,2-3,2-18,2-19,3-4,3-20,3-21,4-5,4-22,4-23,5-6,6-7,6-8,8-9,8-13,9-10,9-24,10-11,10-25,11-12,11-14,12-13,12-26,13-27,14-28","-0.091100,-0.086400,-0.103400,0.136400,-0.444900,0.655700,-0.551000,-0.174600,-0.034500,-0.205500,0.158100,-0.205500,-0.034500,-0.491100,0.032700,0.032700,0.032700,0.049700,0.049700,0.051700,0.051700,0.065700,0.065700,0.159000,0.149000,0.149000,0.159000,0.424000"
CCCCCCOC(=O)C,-2.26,-2.219,"c3,c3,c3,c3,c3,c3,os,c,o,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-11,1-12,1-13,2-3,2-14,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-20,5-21,6-7,6-22,6-23,7-8,8-9,8-10,10-24,10-25,10-26","-0.092100,-0.080400,-0.077400,-0.084400,-0.103400,0.132400,-0.445900,0.634101,-0.547000,-0.151100,0.032033,0.032033,0.032033,0.036700,0.036700,0.041700,0.041700,0.049700,0.049700,0.052700,0.052700,0.065200,0.065200,0.075700,0.075700,0.075700"
C1CCC(=O)C1,-4.7,-3.889,"c5,c5,c5,c,o,c5,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-11,3-12,4-5,4-6,6-13,6-14","-0.079400,-0.079400,-0.190400,0.575100,-0.529100,-0.190400,0.047200,0.047200,0.047200,0.047200,0.076200,0.076200,0.076200,0.076200"
CCCCC(=O)O,-6.16,-9.053,"c3,c3,c3,c3,c,o,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,ho","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-7,7-17","-0.095100,-0.083400,-0.078400,-0.126400,0.633099,-0.552000,-0.612100,0.034367,0.034367,0.034367,0.046200,0.046200,0.057700,0.057700,0.080200,0.080200,0.443000"
CCBr,-0.74,0.487,"c3,c3,br,hc,hc,hc,h1,h1","1-2,1-4,1-5,1-6,2-3,2-7,2-8","-0.097100,-0.008000,-0.181401,0.048367,0.048367,0.048367,0.070700,0.070700"
Cc1ccc2cc(ccc2c1)C,-2.63,-2.848,"c3,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,c3,hc,hc,hc,ha,ha,ha,ha,ha,ha,hc,hc,hc","1-2,1-13,1-14,1-15,2-3,2-11,3-4,3-16,4-5,4-17,5-6,5-10,6-7,6-18,7-8,7-12,8-9,8-19,9-10,9-20,10-11,11-21,12-22,12-23,12-24","-0.053800,-0.076300,-0.126000,-0.116000,-0.036000,-0.119000,-0.076300,-0.126000,-0.116000,-0.036000,-0.119000,-0.053800,0.044367,0.044367,0.044367,0.131000,0.131500,0.131500,0.131000,0.131500,0.131500,0.044367,0.044367,0.044367"
CCCCCCO,-4.4,-3.0,"c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-17,5-18,6-7,6-19,6-20,7-21","-0.093100,-0.079400,-0.079400,-0.079400,-0.122400,0.127400,-0.601799,0.033033,0.033033,0.033033,0.039200,0.039200,0.040200,0.040200,0.038700,0.038700,0.053700,0.053700,0.044200,0.044200,0.397000"
c1ccc(cc1)c2ccccc2Cl,-2.69,-2.508,"ca,ca,ca,cp,ca,ca,cp,ca,ca,ca,ca,ca,cl,ha,ha,ha,ha,ha,ha,ha,ha,ha","1-2,1-6,1-14,2-3,2-15,3-4,3-16,4-5,4-7,5-6,5-17,6-18,7-8,7-12,8-9,8-19,9-10,9-20,10-11,10-21,11-12,11-22,12-13","-0.123000,-0.132500,-0.109000,-0.046000,-0.109000,-0.132500,-0.029000,-0.113000,-0.130000,-0.121000,-0.127000,0.028400,-0.089400,0.132000,0.132500,0.137500,0.137500,0.132500,0.142000,0.136000,0.137000,0.146000"
CC1=CCCCC1,0.67,1.338,"c3,c2,c2,c6,c6,c6,c6,hc,hc,hc,ha,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-8,1-9,1-10,2-3,2-7,3-4,3-11,4-5,4-12,4-13,5-6,5-14,5-15,6-7,6-16,6-17,7-18,7-19","-0.056900,-0.119400,-0.172200,-0.043200,-0.075400,-0.075400,-0.041200,0.039700,0.039700,0.039700,0.120000,0.045700,0.045700,0.040200,0.040200,0.040200,0.040200,0.046200,0.046200"
CCCCCCO[N+](=O)[O-],-1.66,-1.596,"c3,c3,c3,c3,c3,c3,os,no,o,o,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1","1-2,1-11,1-12,1-13,2-3,2-14,2-15,3-4,3-16,3-17,4-5,4-18,4-19,5-6,5-20,5-21,6-7,6-22,6-23,7-8,8-9,8-10","-0.093100,-0.080400,-0.078400,-0.089400,-0.111400,0.129400,-0.350000,0.375201,-0.185500,-0.185500,0.034033,0.034033,0.034033,0.037700,0.037700,0.041200,0.041200,0.055700,0.055700,0.062700,0.062700,0.086200,0.086200"
C(Br)(Br)Br,-2.13,-0.531,"c3,br,br,br,h3","1-2,1-3,1-4,1-5","0.055500,-0.062400,-0.062400,-0.062400,0.131700"
CCc1ccc(cc1)O,-6.13,-5.453,"c3,c3,ca,ca,ca,ca,ca,ca,oh,hc,hc,hc,hc,hc,ha,ha,ha,ha,ho","1-2,1-10,1-11,1-12,2-3,2-13,2-14,3-4,3-8,4-5,4-15,5-6,5-16,6-7,6-9,7-8,7-17,8-18,9-19","-0.090100,-0.033100,-0.112300,-0.092000,-0.182500,0.120100,-0.182500,-0.092000,-0.498100,0.035700,0.035700,0.035700,0.045200,0.045200,0.133000,0.140500,0.140500,0.133000,0.418000"
CCCOCCO,-6.4,-3.94,"c3,c3,c3,os,c3,c3,oh,hc,hc,hc,hc,hc,h1,h1,h1,h1,h1,h1,ho","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,5-6,5-15,5-16,6-7,6-17,6-18,7-19","-0.092100,-0.112400,0.121400,-0.429600,0.086400,0.106400,-0.601800,0.035700,0.035700,0.035700,0.048200,0.048200,0.051700,0.051700,0.053200,0.053200,0.050700,0.050700,0.407000"
c1ccc(cc1)OC=O,-3.82,-5.442,"ca,ca,ca,ca,ca,ca,os,c,o,ha,ha,ha,ha,ha,h5","1-2,1-6,1-10,2-3,2-11,3-4,3-12,4-5,4-7,5-6,5-13,6-14,7-8,8-9,8-15","-0.139000,-0.115000,-0.136000,0.101100,-0.136000,-0.115000,-0.375200,0.637900,-0.517000,0.134000,0.136500,0.151000,0.151000,0.136500,0.085200"
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,-17.742,"cc,cd,c,o,ns,c,o,ns,i,h4,hn,hn","1-2,1-8,1-10,2-3,2-9,3-4,3-5,5-6,5-11,6-7,6-8,8-12","0.094600,-0.196400,0.730700,-0.585500,-0.582500,0.802500,-0.626500,-0.467100,-0.060800,0.174000,0.358500,0.358500"
CCCC(=O)O,-6.35,-9.434,"c3,c3,c3,c,o,oh,hc,hc,hc,hc,hc,hc,hc,ho","1-2,1-7,1-8,1-9,2-3,2-10,2-11,3-4,3-12,3-13,4-5,4-6,6-14","-0.098100,-0.079400,-0.126400,0.637099,-0.552000,-0.612100,0.038367,0.038367,0.038367,0.057200,0.057200,0.079200,0.079200,0.443000"
COC(C(F)(F)F)(OC)OC,-0.8,-2.319,"c3,os,c3,c3,f,f,f,os,c3,os,c3,h1,h1,h1,h1,h1,h1,h1,h1,h1","1-2,1-12,1-13,1-14,2-3,3-4,3-8,3-10,4-5,4-6,4-7,8-9,9-15,9-16,9-17,10-11,11-18,11-19,11-20","0.122367,-0.425933,0.505400,0.621895,-0.225967,-0.225967,-0.225967,-0.425933,0.122367,-0.425933,0.122367,0.051256,0.051256,0.051256,0.051256,0.051256,0.051256,0.051256,0.051256,0.051256"
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,-14.148,"c6,c6,c6,c6,c6,os,oh,oh,oh,oh,h1,h1,h1,h1,h1,h2,ho,ho,ho,ho","1-2,1-6,1-11,1-12,2-3,2-10,2-13,3-4,3-9,3-14,4-5,4-8,4-15,5-6,5-7,5-16,7-17,8-18,9-19,10-20","0.093400,0.076100,0.070100,0.060100,0.295900,-0.419600,-0.607800,-0.568800,-0.567800,-0.574800,0.062200,0.062200,0.087700,0.073700,0.093700,0.126700,0.404000,0.415000,0.410000,0.408000"
C(F)(F)(F)Br,1.79,1.564,"c3,f,f,f,br","1-2,1-3,1-4,1-5","0.706300,-0.207300,-0.207300,-0.207300,-0.084400"
CCCCO,-4.72,-3.232,"c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-11,3-12,4-5,4-13,4-14,5-15","-0.095100,-0.080400,-0.122400,0.127400,-0.599800,0.034700,0.034700,0.034700,0.037700,0.037700,0.052700,0.052700,0.044200,0.044200,0.397000"
c1ccc(cc1)F,-0.8,-0.041,"ca,ca,ca,ca,ca,ca,f,ha,ha,ha,ha,ha","1-2,1-6,1-8,2-3,2-9,3-4,3-10,4-5,4-7,5-6,5-11,6-12","-0.145000,-0.105000,-0.166500,0.123900,-0.166500,-0.105000,-0.141900,0.136000,0.137000,0.148000,0.148000,0.137000"
CCOC(=O)C,-2.94,-3.745,"c3,c3,os,c,o,c3,hc,hc,hc,h1,h1,hc,hc,hc","1-2,1-7,1-8,1-9,2-3,2-10,2-11,3-4,4-5,4-6,6-12,6-13,6-14","-0.126100,0.138400,-0.443900,0.631101,-0.546000,-0.151100,0.049033,0.049033,0.049033,0.061700,0.061700,0.075700,0.075700,0.075700"
CC(C)COC(=O)C(C)C,-1.69,-2.58,"c3,c3,c3,c3,os,c,o,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,h1,h1,hc,hc,hc,hc,hc,hc,hc","1-2,1-11,1-12,1-13,2-3,2-4,2-14,3-15,3-16,3-17,4-5,4-18,4-19,5-6,6-7,6-8,8-9,8-10,8-20,9-21,9-22,9-23,10-24,10-25,10-26","-0.092100,-0.090700,-0.092100,0.134400,-0.439900,0.633104,-0.545000,-0.106700,-0.092100,-0.092100,0.038033,0.038033,0.038033,0.060700,0.038033,0.038033,0.038033,0.066200,0.066200,0.079700,0.047033,0.047033,0.047033,0.047033,0.047033,0.047033"
CC(C)(C)OC,-2.21,-0.691,"c3,c3,c3,c3,os,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,h1","1-2,1-7,1-8,1-9,2-3,2-4,2-5,3-10,3-11,3-12,4-13,4-14,4-15,5-6,6-16,6-17,6-18","-0.107100,0.147800,-0.107100,-0.107100,-0.422598,0.117700,0.042922,0.042922,0.042922,0.042922,0.042922,0.042922,0.042922,0.042922,0.042922,0.030700,0.030700,0.030700"
